Fine-tuning t5-large...
Step: 100, Loss: 0.3200
Step: 200, Loss: 0.2356
Step: 300, Loss: 0.1709
Step: 400, Loss: 0.1326
Step: 500, Loss: 0.1085
Step: 600, Loss: 0.0918
Step: 700, Loss: 0.0796
Step: 800, Loss: 0.0704
Step: 900, Loss: 0.0633
Step: 1000, Loss: 0.0576
Step: 1100, Loss: 0.0528
Step: 1200, Loss: 0.0488
Step: 1300, Loss: 0.0454
Step: 1400, Loss: 0.0425
Step: 1500, Loss: 0.0400
Epoch 1/10, Train Loss: 0.0388
---val test in answer status---
authoritarian | ignore
health center | health center
planet | earth
apartment | apartment
gorge | gorge
listen to music | listen to music
prepare for going | prepare to go
satisfaction | satisfaction
music store | music store
military installation | space center
building | building
end pain | unhappy
sparse | slender
blisters | blisters
exercise | think
do crossword puzzle | do crossword puzzle
jigsaw puzzle | puzzle box
toy store | toy store
eat corn | eat corn
feeling of guilt | feeling of guilt
repair shop | parking garage
blacksmith's shop | blacksmith's shop
dangerous | dangerous
train station | train station
injury | injury
own family | own family
necklace | motorcycle
table | table
retain | engage
motel room | motel room
compete with each other | compete with each other
modern house | modern house
water cooler | water cooler
backpack | backpack
home team | at home
high school or college | old people's home
melting | melting
french | chinese food
beach | florida
huge | tall
enjoy living | get laid
being happy | may laugh
lose weight | lose weight
fire | winter storm
main office | center
supermarket | supermarket
dull read | anthology
get food | get food
jump | jump
surf net | surf net
being for | being for
frustration | blisters
being rude | disparagement
procrastination | procrastination
time consuming | time consuming
see favorite show | see favorite show
cash in | cash in
make love | make love
shopping cart | shopping mall
contaminated | contaminated
perform surgery | let blood
welcome change | welcome change
desires | money
score points | score points
fatigue | fatigue
dedication | dedication
hear sounds | hear sounds
learning | learning
wash dishes | wash dishes
warehouse | warehouse
floor | floor
map | map
heart attacks | heart attacks
cinema | in cinema
train station | train station
seed crops | seed crops
party | party
pacific ocean | pool hall
cash register | cash register
attic | attic
birthday party | birthday party
grocery bag | grocery bag
playroom | playroom
painting | painting
house | surface of earth
fearless | fearless
enjoyment | happiness
supermarket | hair salon
artist's studio | artist's studio
breaks to help stop | breaks to help stop
carpenter's shop | carpenter's shop
injuries | injuries
orchestra | orchestra
see light | see light
backyard | backyard
active | in motion
meow | meow
atlas | atlas
outside | outside
rain forest | rain forest
tree | san francisco
hat rack | hat rack
rest area | rest area
kill bill | settle everything
human being | human being
seaside town | seaside town
talking nonsense | talking nonsense
imprevist | new
die | die
bored | deafness
drug store | drug store
eat plants | eat plants
musical | musical
laughter | glee
computer science | computer science
have sex | have sex
revolution | revolution
coke clear | original
tree tops | tree tops
fraternity house | building
oxygen | oxygen
antipathy | antipathy
port | port
fairgrounds | fairgrounds
petting zoo | petting zoo
contradict | deny
auditioning | listening to music
being happy | being happy
closed | closed
bus | store
play piano | play piano
theater | hockey game
hospital bed | hospital bed
lay eggs | cross road
cure | cure
train station | train station
foot | foot
grill | bring home fish
wall | wall
television | movies
card catalogue | card catalogue
beast | beast
shelf | shelf
grocery store | grocery store
airport | london
elevator | elevator
footloose | fast
mail box | mail box
erections | erections
winning or losing | winning or losing
skyscraper | skyscraper
spacecraft | villa
south pacific ocean | south pacific ocean
mexico | mexico
patent | think
movies | movies
mobile phone | wristwatch
sweating | feeling refreshed
lot of grief | children suffer
radio station | radio station
neighbor's house | neighbor's house
equal opportunity | equal opportunity
stationery store | desk drawer
current | beach sand
pantry | pantry
space shuttle | space shuttle
food | food
control children | control children
post office | bus stop
internet sites | internet sites
dealing | count
back pocket | back pocket
responsibility | evaluating
anger | anger
pet store | pet store
concern | education
slept | take center stage
hardware store | sporting goods store
slow down | slow down
entertainment | entertainment
car trunk | car trunk
read | read
graduate | graduate
pain | pain
sailing vessel | sailing vessel
under bed | music room
front porch | front porch
give speeches | complete sentences
buzz | buzz
feel more comfortable | feel more comfortable
atlantic ocean | atlantic ocean
satisfaction | gratitude
having fun | having fun
driving | driving
wear shoes | wear shoes
somber | somber
room | room
idaho | idaho
plane | plane
research laboratory | research laboratory
rug | corner
basement | basement
pantry | pantry
ignore | illiterate
newspaper | newspaper
heat up | heat up
perfume | perfume
passing grade | passing grade
rocks | rocks
armpits | medicine chest
try to learn | try to learn
meeting | meeting
suface of moon | ground
say thank | show appreciation
might dream | might dream
conjunction | conjunction
accidentally | knowingly
change yourself | change yourself
new hampshire | new hampshire
medicine cabinet | medicine cabinet
blisters | blisters
soft drink | soft drink
entertain | entertain
plantation | plantation
binder | binder
bookstore | bookstore
zoological gardens | zoological gardens
dangerous | dangerous
judge | judge
three feet | three feet
new experiences | new experiences
penultimate | dissipate
fort knox | fort knox
care for children | care for children
hockey game | hockey game
shopping center | shopping center
wires | wires
wrong house | wrong house
control | control
get news | get news
pantry | cupboard
countryside | countryside
stage | party
england | england
kind | kind
economic instability | economic instability
enjoy | have fun
great granddad's house | brother's house
giving homework | open boxes
fast food restaurant | fast food restaurant
magazines | magazines
small talk | small talk
need for rest | need for rest
drinkable | medicine
get money | save money
regular | regular
work in life | work in life
mouth | mouth
pocket | pocket
chicken | chicken
hurt feelings | going to court
factory | factory
bedroom | bedroom
soup | soup
animal shelter | animal shelter
relaxation | relaxation
staying there | staying there
poker game | poker game
drugstore | drugstore
clothing store | clothing store
slaughterhouse | countryside
coral reef | open ocean
shopping malls | shopping malls
legal fees | legal fees
fresh fruit | fruit cocktail
animal | ungulate
class room | library
opera | populated area
sit down | tie shoelace
residential neighborhood | residential neighborhood
die of starvation | die of starvation
dinner | dinner
math book | math book
butterflies | butterflies
blush | avoid eye contact
night sky | night sky
create art | create art
row boat | row boat
singing | singing
anger | anger
theatre | swimming pool
spend money | spend money
do work | do work
flea market | flea market
train | airplane
solar system | solar system
milk cow | step forward
space shuttle | space shuttle
socialize | socialize
run programs | power down
shop | shop
correct | acute angled
intelligence | intelligence
selling out | selling out
awesome | awesome
authentic | authentic
filing cabinet | filing cabinet
cemetary | cemetary
going to jail | going to jail
neat | neat
doctor himself | doctor himself
revealing information | more funding
his feet | surface of earth
sweating | walking out of
curry | curry
office building | house
grocery store | grocery store
relaxation | relaxation
lead pencil | card game
drugstore | drugstore
wedding party | wedding party
table | table
fast food restaurant | fast food restaurant
naked | naked
restlessness | restlessness
office | office
basement | basement
agony | agony
gettysburg address | state of union
cabinet | own home
edge | edge
park | california
